location_id,clinic_name,room_number
0,Tucker-Chang,220
1,Sherman Group,281
2,Sherman Group,239
3,Bradford PLC,571
4,Bradford PLC,146
5,Bradford PLC,818
6,Hoover-Thornton,744
7,Hoover-Thornton,539
8,Bradford PLC,964
9,Sherman Group,394
10,Tucker-Chang,423
11,Hoover-Thornton,379
12,Bradford PLC,170
13,Hoover-Thornton,847
14,Bradford PLC,301
15,Tucker-Chang,346
16,Sherman Group,908
17,Bradford PLC,683
18,Tucker-Chang,936
19,Bradford PLC,496
20,Tucker-Chang,797
21,Bradford PLC,510
22,Bradford PLC,121
23,Bradford PLC,710
24,Hoover-Thornton,710
25,Bradford PLC,158
26,Bradford PLC,104
27,Hoover-Thornton,523
28,Tucker-Chang,534
29,Sherman Group,247
30,Hoover-Thornton,846
31,Sherman Group,913
32,Hoover-Thornton,998
33,Tucker-Chang,137
34,Tucker-Chang,504
35,Sherman Group,904
36,Hoover-Thornton,534
37,Tucker-Chang,265
38,Sherman Group,925
39,Hoover-Thornton,531
40,Tucker-Chang,683
41,Hoover-Thornton,637
42,Sherman Group,781
43,Hoover-Thornton,729
44,Sherman Group,663
45,Tucker-Chang,949
46,Tucker-Chang,666
47,Bradford PLC,382
48,Sherman Group,857
49,Tucker-Chang,404
50,Hoover-Thornton,867
51,Tucker-Chang,516
52,Bradford PLC,377
53,Hoover-Thornton,798
54,Hoover-Thornton,125
55,Tucker-Chang,837
56,Sherman Group,330
57,Bradford PLC,448
58,Hoover-Thornton,370
59,Hoover-Thornton,592
60,Sherman Group,418
61,Hoover-Thornton,163
62,Bradford PLC,698
63,Tucker-Chang,785
64,Bradford PLC,523
65,Hoover-Thornton,205
66,Hoover-Thornton,399
67,Bradford PLC,220
68,Tucker-Chang,261
69,Bradford PLC,982
70,Sherman Group,424
71,Bradford PLC,603
72,Sherman Group,879
73,Hoover-Thornton,664
74,Tucker-Chang,692
75,Tucker-Chang,685
76,Hoover-Thornton,511
77,Tucker-Chang,385
78,Tucker-Chang,889
79,Hoover-Thornton,925
80,Bradford PLC,250
81,Tucker-Chang,703
82,Tucker-Chang,962
83,Tucker-Chang,557
84,Sherman Group,958
85,Bradford PLC,347
86,Hoover-Thornton,282
87,Hoover-Thornton,122
88,Hoover-Thornton,352
89,Sherman Group,614
90,Bradford PLC,439
91,Sherman Group,168
92,Tucker-Chang,475
93,Sherman Group,653
94,Tucker-Chang,460
95,Tucker-Chang,232
96,Bradford PLC,806
97,Tucker-Chang,676
98,Hoover-Thornton,237
99,Bradford PLC,765
100,Sherman Group,472
101,Hoover-Thornton,333
102,Hoover-Thornton,349
103,Bradford PLC,346
104,Hoover-Thornton,284
105,Sherman Group,733
106,Bradford PLC,289
107,Hoover-Thornton,529
108,Bradford PLC,426
109,Hoover-Thornton,957
110,Hoover-Thornton,403
111,Hoover-Thornton,443
112,Tucker-Chang,393
113,Bradford PLC,449
114,Bradford PLC,172
115,Hoover-Thornton,137
116,Hoover-Thornton,490
117,Sherman Group,248
118,Hoover-Thornton,855
119,Hoover-Thornton,226
120,Tucker-Chang,490
121,Tucker-Chang,582
122,Hoover-Thornton,728
123,Bradford PLC,485
124,Sherman Group,401
125,Sherman Group,358
126,Hoover-Thornton,828
127,Tucker-Chang,213
128,Sherman Group,830
129,Bradford PLC,721
130,Bradford PLC,435
131,Hoover-Thornton,779
132,Sherman Group,471
133,Sherman Group,129
134,Sherman Group,847
135,Tucker-Chang,908
136,Bradford PLC,389
137,Hoover-Thornton,830
138,Bradford PLC,761
139,Tucker-Chang,468
140,Sherman Group,776
141,Hoover-Thornton,774
142,Hoover-Thornton,419
143,Sherman Group,191
144,Bradford PLC,657
145,Bradford PLC,828
146,Hoover-Thornton,575
147,Tucker-Chang,340
148,Tucker-Chang,386
149,Sherman Group,801
150,Tucker-Chang,896
151,Sherman Group,421
152,Tucker-Chang,310
153,Tucker-Chang,161
154,Tucker-Chang,206
155,Sherman Group,374
156,Bradford PLC,950
157,Tucker-Chang,933
158,Sherman Group,816
