secondary_diagnosis_id,secondary_diagnosis_code,secondary_diagnosis_desc
0,Dbd456d,Phone concern her take.
1,Da329ab,Space deal it small never hospital group.
2,D690d46,Item say board garden should indeed none make.
3,Dd29351,That win carry believe base nation piece.
4,D8dde66,One positive prove spring science.
5,D902e24,Official season pay mention.
6,De30b32,Left cost specific statement idea.
7,D222dfd,Whether begin head size make.
8,D89e001,Contain consumer event seem be law.
9,D8d8cc1,Ball ability letter water thank big.
